Cation,anion,compound,surface,Potential,TPSA_cat,Bertz_cat,N_HD_cat,γ_s,Rq,r_cat,N_HA_cat,N_rot_cat,σ_s,x_IL,I_H2O,I_ss,TPSA_an,BalJ_cat,θ_s,MW_an,MW_cat,r_an,T,N_qN_cat,Bertz_an,velocity,logP_cat,logP_an,BalJ_an,μ,friction_bin,cation_bin,stratify_label,original_index,friction_pred,friction_diff,error_flag
[HMIM]+,[FAP]-,zero,Au(111),0.5,8.81,215.3680851,0,-0.02,0.2,3.540263249,1,5,0.7,100.0,0,0,0.0,2.153242802,60.0,445.004,167.276,3.775688868,293,0,468.4882895,2.0,1.8929,7.1942,7.871070033,0.3,4.0,167.276,4_167.276,155.0,0.3000000098459743,9.845974313638097e-09,
"[P6,6,6,14]+",[BEHP]-,zero,HOPG,-1.0,0.0,319.1282666,0,-0.0002,0.89,5.174799948,0,28,0.05,100.0,0,0,58.59,4.337445108,85.0,321.418,483.87,4.32349866,298,0,259.4505415,6.0,12.446,4.9208,4.075382025,0.002,0.0,483.87,0_483.87,156.0,0.0019999997578951,2.421048899553524e-10,
"[P6,6,6,14]+",[(iC8)2PO2]-,hexadecane,Au(111),0.0,0.0,319.1282666,0,-0.02,1.0,5.174799948,0,28,0.7,1.0,0,0,40.13,4.337445108,60.0,289.42,483.87,4.246635376,298,0,281.6910727,6.5,12.446,4.7694,4.359263597,0.46,5.0,483.87,5_483.87,157.0,0.4600000064700927,6.470092683841244e-09,
[HMIM]+,[TFSI]-,zero,silica,0.0,8.81,215.3680851,0,-0.07,6.03,3.540263249,1,5,0.2,100.0,0,0,82.38,2.153242802,20.7,280.147,167.276,3.359227186,298,0,384.7328028,1.0,1.8929,1.0593,5.284512596,0.075,2.0,167.276,2_167.276,158.0,0.0750000019064807,1.9064807094126834e-09,
[EMIM] +,[FAP]-,zero,Au(111),-2.0,8.81,166.7913934,0,-0.02,0.2,3.045073482,1,1,0.7,100.0,0,0,0.0,2.837541431,60.0,445.004,111.168,3.775688868,293,0,468.4882895,12.0,0.3325,7.1942,7.871070033,0.14,3.0,111.168,3_111.168,159.0,0.1400000021674949,2.1674949335359628e-09,
"[P6,6,6,14]+",[AOT]-,[P66614][BTA],stainless steel,4.0,0.0,319.1282666,0,0.01,320.0,5.174799948,0,28,0.07,17.4,0,1,109.8,4.337445108,72.0,421.576,483.87,4.637037402,298,0,544.7574562,65.0,12.446,3.8095,4.726289834,0.01277,0.0,483.87,0_483.87,160.0,0.0127699993657737,6.342262236225247e-10,
"[P6,6,6,14]+",[BMB]-,PC,Au(111),-0.12,0.0,319.1282666,0,-0.02,0.835,5.174799948,0,28,0.7,0.67,0,0,71.06,4.337445108,60.0,311.078,483.87,3.97427778,298,0,682.1804819,12.0,12.446,2.0514,1.591434542,0.1149,2.0,483.87,2_483.87,161.0,0.1148999977378194,2.2621805539913e-09,
[EMIM] +,[FAP]-,zero,Au(111),1.0,8.81,166.7913934,0,-0.02,0.2,3.045073482,1,1,0.7,100.0,0,0,0.0,2.837541431,60.0,445.004,111.168,3.775688868,293,0,468.4882895,2.0,0.3325,7.1942,7.871070033,0.35,5.0,111.168,5_111.168,162.0,0.3499999911643832,8.835616793767542e-09,
[EMIM] +,[FAP]-,zero,Au(111),-0.5,8.81,166.7913934,0,-0.02,0.2,3.045073482,1,1,0.7,100.0,0,0,0.0,2.837541431,60.0,445.004,111.168,3.775688868,293,0,468.4882895,12.0,0.3325,7.1942,7.871070033,0.22,3.0,111.168,3_111.168,163.0,0.2200000000627056,6.2705673986585e-11,
[BMIm]+,[TFSI]-,zero,Au(111),1.0,8.81,190.8925906,0,-0.02,1.0,3.310978931,1,3,0.7,100.0,0,0,82.38,2.422977778,60.0,280.147,139.222,3.359227186,298,0,384.7328028,6.0,1.1127,1.0593,5.284512596,0.119,2.0,139.222,2_139.222,164.0,0.119000000149662,1.4966200501120852e-10,
"[P6,6,6,14]+",[(iC8)2PO2]-,hexadecane,Au(111),1.0,0.0,319.1282666,0,-0.02,1.0,5.174799948,0,28,0.7,100.0,0,0,40.13,4.337445108,60.0,289.42,483.87,4.246635376,298,0,281.6910727,6.5,12.446,4.7694,4.359263597,0.84,7.0,483.87,7_483.87,165.0,0.8399999745446781,2.5455321850387242e-08,
"[P6,6,6,14]+",[(iC8)2PO2]-,hexadecane,silica,0.0,0.0,319.1282666,0,-0.07,0.5,5.174799948,0,28,0.2,0.0,0,0,40.13,4.337445108,20.7,289.42,483.87,4.246635376,298,0,281.6910727,6.0,12.446,4.7694,4.359263597,0.57,6.0,483.87,6_483.87,166.0,0.5699999931709917,6.829008247777324e-09,
"[P6,6,6,14]+",[TFSI]-,[P66614][Doc],stainless steel,-4.0,0.0,319.1282666,0,0.01,320.0,5.174799948,0,28,0.07,82.6,0,1,82.38,4.337445108,72.0,280.147,483.87,3.359227186,298,0,384.7328028,65.0,12.446,1.0593,5.284512596,0.00093,0.0,483.87,0_483.87,167.0,0.0009299986255277,1.374472216380748e-09,
"[P6,6,6,14]+",[BMB]-,PC,Au(111),-0.12,0.0,319.1282666,0,-0.02,0.835,5.174799948,0,28,0.7,3.1,0,0,71.06,4.337445108,60.0,311.078,483.87,3.97427778,298,0,682.1804819,1.0,12.446,2.0514,1.591434542,0.1296,3.0,483.87,3_483.87,168.0,0.1296000055983001,5.598300156783864e-09,
"[P6,6,6,14]+",[TFSI]-,[P66614][Doc],stainless steel,4.0,0.0,319.1282666,0,0.01,320.0,5.174799948,0,28,0.07,82.6,0,1,82.38,4.337445108,72.0,280.147,483.87,3.359227186,298,0,384.7328028,65.0,12.446,1.0593,5.284512596,0.01277,0.0,483.87,0_483.87,169.0,0.0127700003989522,3.989522080749541e-10,
"[P6,6,6,14]+",[AOT]-,zero,stainless steel,1.24,0.0,319.1282666,0,0.01,0.9,5.174799948,0,28,0.07,100.0,0,1,109.8,4.337445108,72.0,421.576,483.87,4.637037402,298,0,544.7574562,6.0,12.446,3.8095,4.726289834,0.26,4.0,483.87,4_483.87,170.0,0.2599999908810649,9.118935051510846e-09,
[Li(G4)]+,[TFSI]-,zero,Au(111),0.5,46.15,103.3825112,0,-0.02,1.0,3.859895249,5,12,0.7,100.0,0,0,82.38,0.0,60.0,280.147,229.222,3.359227186,298,0,384.7328028,6.0,-2.667,1.0593,5.284512596,0.25,4.0,229.222,4_229.222,171.0,0.2500000024845241,2.4845241419768627e-09,
"[P6,6,6,14]+",[(iC8)2PO2]-,hexadecane,Au(111),0.0,0.0,319.1282666,0,-0.02,1.0,5.174799948,0,28,0.7,0.001,0,0,40.13,4.337445108,60.0,289.42,483.87,4.246635376,298,0,281.6910727,6.5,12.446,4.7694,4.359263597,0.5,6.0,483.87,6_483.87,172.0,0.5000000006216687,6.216687165050414e-10,
"[P6,6,6,14]+",[(iC8)2PO2]-,hexadecane,Au(111),1.0,0.0,319.1282666,0,-0.02,1.0,5.174799948,0,28,0.7,1.0,0,0,40.13,4.337445108,60.0,289.42,483.87,4.246635376,298,0,281.6910727,6.5,12.446,4.7694,4.359263597,0.588,6.0,483.87,6_483.87,173.0,0.5880000003532779,3.5327796243933557e-10,
"[P6,6,6,14]+",[AOT]-,hexadecane,stainless steel,0.0,0.0,319.1282666,0,0.01,0.9,5.174799948,0,28,0.07,0.508,0,1,109.8,4.337445108,72.0,421.576,483.87,4.637037402,298,0,544.7574562,6.0,12.446,3.8095,4.726289834,0.56,6.0,483.87,6_483.87,174.0,0.5600000016362716,1.6362715626883071e-09,
"[P6,6,6,14]+",[AOT]-,[P66614][BTA],stainless steel,4.0,0.0,319.1282666,0,0.01,320.0,5.174799948,0,28,0.07,17.4,0,1,109.8,4.337445108,72.0,421.576,483.87,4.637037402,298,0,544.7574562,130.0,12.446,3.8095,4.726289834,0.0339,1.0,483.87,1_483.87,175.0,0.0339000005950184,5.950184650549415e-10,
"[P6,6,6,14]+",[AOT]-,[P66614][BTA],stainless steel,-4.0,0.0,319.1282666,0,0.01,320.0,5.174799948,0,28,0.07,17.4,0,1,109.8,4.337445108,72.0,421.576,483.87,4.637037402,298,0,544.7574562,65.0,12.446,3.8095,4.726289834,0.00093,0.0,483.87,0_483.87,176.0,0.0009300013008754,1.3008754492453002e-09,
[EA]+,[N]-,zero,mica,0.0,27.64,2.754887502,1,-0.16,0.0569,2.431285504,0,0,1.77,100.0,0,0,66.2,1.632993162,0.0,62.004,46.093,2.192174955,298,1,26.26466251,0.5,-0.7518,-0.2391,2.803039488,0.022795699,1.0,46.093,1_46.093,177.0,0.0227956998584151,8.58415120236211e-10,
[EMIM] +,[FAP]-,zero,Au(111),0.0,8.81,166.7913934,0,-0.02,0.2,3.045073482,1,1,0.7,100.0,0,0,0.0,2.837541431,60.0,445.004,111.168,3.775688868,293,0,468.4882895,12.0,0.3325,7.1942,7.871070033,0.29,4.0,111.168,4_111.168,178.0,0.2899999895752907,1.0424709262490952e-08,
"[P6,6,6,14]+",[DS]-,hexadecane,stainless steel,0.0,0.0,319.1282666,0,0.01,0.9,5.174799948,0,28,0.07,0.613,0,1,66.43,4.337445108,72.0,265.395,483.87,3.990255029,298,0,249.2312434,6.0,12.446,3.3841,3.038016531,0.77,6.0,483.87,6_483.87,179.0,0.7699999805965982,1.940340177419841e-08,
[EA]+,[N]-,zero,mica,0.0,27.64,2.754887502,1,-0.16,0.0569,2.431285504,0,0,1.77,100.0,0,0,66.2,1.632993162,0.0,62.004,46.093,2.192174955,298,1,26.26466251,10.0,-0.7518,-0.2391,2.803039488,0.31,4.0,46.093,4_46.093,180.0,0.3099999985149927,1.4850072838079598e-09,
[Li(G4)]+,[TFSI]-,zero,HOPG,-0.5,46.15,103.3825112,0,-0.0002,0.89,3.859895249,5,12,0.05,100.0,0,0,82.38,0.0,85.0,280.147,229.222,3.359227186,298,0,384.7328028,6.0,-2.667,1.0593,5.284512596,0.024,1.0,229.222,1_229.222,181.0,0.0239999993387695,6.61230493970155e-10,
[EA]+,[N]-,zero,silica,0.0,27.64,2.754887502,1,-0.07,0.6,2.431285504,0,0,0.2,100.0,0,0,66.2,1.632993162,20.7,62.004,46.093,2.192174955,298,1,26.26466251,20.0,-0.7518,-0.2391,2.803039488,0.152419355,3.0,46.093,3_46.093,182.0,0.152419358778911,3.778911017437991e-09,
"[P6,6,6,14]+",[BOB]-,DEGDBE,titanium,0.0,0.0,319.1282666,0,0.005,61.15,5.174799948,0,28,0.5,0.1,0,0,105.2,4.337445108,60.0,186.848,483.87,3.117880277,298,0,274.5434145,20.0,12.446,-2.378,2.267123915,0.06,1.0,483.87,1_483.87,183.0,0.0599999995316792,4.683207155409264e-10,
[EMIM] +,[FAP]-,zero,Au(111),0.5,8.81,166.7913934,0,-0.02,0.2,3.045073482,1,1,0.7,100.0,0,0,0.0,2.837541431,60.0,445.004,111.168,3.775688868,293,0,468.4882895,20.0,0.3325,7.1942,7.871070033,0.31,4.0,111.168,4_111.168,184.0,0.3100000005016914,5.016914106370507e-10,
"[P6,6,6,14]+",[BMB]-,PC,Au(111),-0.12,0.0,319.1282666,0,-0.02,0.835,5.174799948,0,28,0.7,0.67,0,0,71.06,4.337445108,60.0,311.078,483.87,3.97427778,298,0,682.1804819,1.0,12.446,2.0514,1.591434542,0.0948,2.0,483.87,2_483.87,185.0,0.0948000007943601,7.94360188738352e-10,
"[P6,6,6,14]+",[BEHP]-,zero,HOPG,1.0,0.0,319.1282666,0,-0.0002,0.89,5.174799948,0,28,0.05,100.0,0,0,58.59,4.337445108,85.0,321.418,483.87,4.32349866,298,0,259.4505415,6.0,12.446,4.9208,4.075382025,0.012,0.0,483.87,0_483.87,186.0,0.0119999998467713,1.5322869709177844e-10,
"[P6,6,6,14]+",[(iC8)2PO2]-,hexadecane,Au(111),0.0,0.0,319.1282666,0,-0.02,1.0,5.174799948,0,28,0.7,100.0,0,0,40.13,4.337445108,60.0,289.42,483.87,4.246635376,298,0,281.6910727,6.5,12.446,4.7694,4.359263597,0.47,6.0,483.87,6_483.87,187.0,0.4699999964251086,3.5748913274069594e-09,
"[P6,6,6,14]+",[TFSI]-,[P66614][Doc],stainless steel,4.0,0.0,319.1282666,0,0.01,320.0,5.174799948,0,28,0.07,82.6,0,1,82.38,4.337445108,72.0,280.147,483.87,3.359227186,298,0,384.7328028,13.0,12.446,1.0593,5.284512596,0.03268,1.0,483.87,1_483.87,188.0,0.0326800011362728,1.1362728397079636e-09,
"[P6,6,6,14]+",[TFSI]-,zero,stainless steel,0.0,0.0,319.1282666,0,0.01,0.89,5.174799948,0,28,0.07,100.0,0,1,82.38,4.337445108,72.0,280.147,483.87,3.359227186,298,0,384.7328028,6.0,12.446,1.0593,5.284512596,0.39,5.0,483.87,5_483.87,189.0,0.3899999851232247,1.4876775256134069e-08,
"[P6,6,6,14]+",[BScB]-,DEGDBE,titanium,0.0,0.0,319.1282666,0,0.005,61.15,5.174799948,0,28,0.5,0.1,0,0,71.06,4.337445108,60.0,283.024,483.87,3.79978343,298,0,706.0644789,20.0,12.446,1.9208,1.781315888,0.056,1.0,483.87,1_483.87,190.0,0.0569999998398134,0.0009999998398134,
"[P6,6,6,14]+",[(iC8)2PO2]-,hexadecane,silica,0.0,0.0,319.1282666,0,-0.07,0.5,5.174799948,0,28,0.2,10.0,0,0,40.13,4.337445108,20.7,289.42,483.87,4.246635376,298,0,281.6910727,6.0,12.446,4.7694,4.359263597,0.39,5.0,483.87,5_483.87,191.0,0.3899999862211144,1.3778885588067169e-08,
[HOC4Py] +,[TFSI]-,zero,mica,0.0,24.11,186.0140383,1,-0.16,0.0569,3.360073211,1,4,1.77,100.0,0,0,82.38,2.275801287,0.0,280.147,152.217,3.359227186,293,0,384.7328028,6.0,0.7466,1.0593,5.284512596,0.15,3.0,152.217,3_152.217,192.0,0.1500000057366416,5.736641633946604e-09,
[HOC3Py] +,[TFSI]-,zero,mica,0.0,24.11,173.8722824,1,-0.16,0.0569,3.236493461,1,3,1.77,100.0,0,0,82.38,2.426522347,0.0,280.147,138.19,3.359227186,293,0,384.7328028,6.0,0.3565,1.0593,5.284512596,0.18,3.0,138.19,3_138.19,193.0,0.1800000067360772,6.736077279301256e-09,
[HOC4MPip]+,[TFSI]-,zero,mica,0.0,20.23,119.0069869,1,-0.16,0.0569,3.589900502,1,4,1.77,100.0,0,0,82.38,2.172199717,0.0,280.147,172.292,3.359227186,293,1,384.7328028,6.0,1.3894,1.0593,5.284512596,0.17,3.0,172.292,3_172.292,194.0,0.1700000019885985,1.9885985358403246e-09,
[C10(C1Im)2]2+,[TFSI]-,zero,mica,0.0,39.34,478.4344778,2,-0.16,0.0596,4.268585015,0,11,1.77,100.0,0,0,82.38,1.38550141,0.0,280.147,304.482,3.359227186,298,0,384.7328028,0.47,2.8978,1.0593,5.284512596,0.0594,1.0,304.482,1_304.482,195.0,0.0593999999607606,3.923932706539901e-11,
"[Py1,4]+",[FAP]-,zero,Au(111),1.0,0.0,92.90138861,0,-0.02,1.0,3.423597497,0,3,0.7,100.0,0,0,0.0,2.21874475,60.0,445.004,142.266,3.775688868,298,1,468.4882895,6.0,2.0269,7.1942,7.871070033,0.45,5.0,142.266,5_142.266,196.0,0.4499999875999922,1.24000077428299e-08,
"[Py1,4]+",[FAP]-,zero,Au(111),1.5,0.0,92.90138861,0,-0.02,1.0,3.423597497,0,3,0.7,100.0,0,0,0.0,2.21874475,60.0,445.004,142.266,3.775688868,298,1,468.4882895,6.0,2.0269,7.1942,7.871070033,0.59,6.0,142.266,6_142.266,197.0,0.5899999740637896,2.593621040158922e-08,
[BMIm]+,[TFSI]-,zero,Au(111),0.0,8.81,190.8925906,0,-0.02,1.0,3.310978931,1,3,0.7,100.0,0,0,82.38,2.422977778,60.0,280.147,139.222,3.359227186,298,0,384.7328028,6.0,1.1127,1.0593,5.284512596,0.044,1.0,139.222,1_139.222,198.0,0.0440000060135713,6.013571349217095e-09,
Poly(3MAPIm)+,[TFSI]-,BMIM TFSI,Au(111),0.0,37.91,293.312147,1,-0.02,1.0,3.639451851,2,5,0.7,5.0,0,0,82.38,2.128181097,60.0,280.147,196.274,3.359227186,298,0,384.7328028,6.0,0.2289,1.0593,5.284512596,0.634,6.0,196.274,6_196.274,199.0,0.6340000037342027,3.734202724814395e-09,
Poly(3MAPIm)+,[TFSI]-,BMIM TFSI,Au(111),-1.0,37.91,293.312147,1,-0.02,1.0,3.639451851,2,5,0.7,5.0,0,0,82.38,2.128181097,60.0,280.147,196.274,3.359227186,298,0,384.7328028,6.0,0.2289,1.0593,5.284512596,0.911,7.0,196.274,7_196.274,200.0,0.9110000132024668,1.3202466675465985e-08,
[EA]+,[N]-,zero,mica,0.0,27.64,2.754887502,1,-0.16,0.0569,2.431285504,0,0,1.77,100.0,0,0,66.2,1.632993162,0.0,62.004,46.093,2.192174955,298,1,26.26466251,1.0,-0.7518,-0.2391,2.803039488,0.019871158,0.0,46.093,0_46.093,201.0,0.0198711576440699,3.5593000768940897e-10,
[EMIM] +,[FAP]-,zero,Au(111),-2.0,8.81,166.7913934,0,-0.02,0.2,3.045073482,1,1,0.7,100.0,0,0,0.0,2.837541431,60.0,445.004,111.168,3.775688868,293,0,468.4882895,2.0,0.3325,7.1942,7.871070033,0.12,2.0,111.168,2_111.168,202.0,0.1199999958814603,4.118539620456829e-09,
[Li(G4)]+,[TFSI]-,zero,Au(111),0.0,46.15,103.3825112,0,-0.02,1.0,3.859895249,5,12,0.7,100.0,0,0,82.38,0.0,60.0,280.147,229.222,3.359227186,298,0,384.7328028,6.0,-2.667,1.0593,5.284512596,0.21,3.0,229.222,3_229.222,203.0,0.2099999897142385,1.0285761409267737e-08,
[Li(G4)]+,[TFSI]-,zero,Au(111),1.0,46.15,103.3825112,0,-0.02,1.0,3.859895249,5,12,0.7,100.0,0,0,82.38,0.0,60.0,280.147,229.222,3.359227186,298,0,384.7328028,6.0,-2.667,1.0593,5.284512596,0.74,6.0,229.222,6_229.222,204.0,0.7400000088140999,8.814099894394191e-09,
[BMIm]+,[AOT]-,H2O,stainless steel,0.0,8.81,190.8925906,0,0.01,0.8,3.310978931,1,3,0.07,16.5,1,1,109.8,2.422977778,72.0,421.576,139.222,4.637037402,298,0,544.7574562,6.0,1.1127,3.8095,4.726289834,3.4,7.0,139.222,7_139.222,205.0,3.400000094899325,9.489932528694568e-08,
[BMIm]+,[AOT]-,H2O,stainless steel,-1.0,8.81,190.8925906,0,0.01,0.8,3.310978931,1,3,0.07,16.5,1,1,109.8,2.422977778,72.0,421.576,139.222,4.637037402,298,0,544.7574562,6.0,1.1127,3.8095,4.726289834,3.4,7.0,139.222,7_139.222,206.0,3.400000095751152,9.57511518961951e-08,
[DOPIL]+,[Cl]-,zero,silica,0.0,78.37,622.3764453,3,-0.07,6.03,4.033447586,4,6,0.2,100.0,0,0,0.0,1.69932597,20.7,35.453,290.343,1.783215615,298,0,0.0,2.0,0.4728,-2.996,0.0,3.38,7.0,290.343,7_290.343,207.0,3.380000114595101,1.1459510096401004e-07,
[DOPIL]+,[BF4]-,zero,silica,0.0,78.37,622.3764453,3,-0.07,6.03,4.033447586,4,6,0.2,100.0,0,0,0.0,1.69932597,20.7,86.804,290.343,2.328453731,298,0,19.11941548,2.0,0.4728,1.3,3.023715784,2.85,7.0,290.343,7_290.343,208.0,2.849999904459989,9.554001101363953e-08,
[DOPIL]+,[TFSI]-,zero,silica,0.0,78.37,622.3764453,3,-0.07,6.03,4.033447586,4,6,0.2,0.0,0,0,82.38,1.69932597,20.7,280.147,290.343,3.359227186,298,0,384.7328028,2.0,0.4728,1.0593,5.284512596,3.77,7.0,290.343,7_290.343,209.0,3.769999981224861,1.877513922110552e-08,
"[P6,6,6,14]+",[AOT]-,(CH2CO2Et)2,stainless steel,0.24,0.0,319.1282666,0,0.01,0.9,5.174799948,0,28,0.07,1.002,0,1,109.8,4.337445108,72.0,421.576,483.87,4.637037402,298,0,544.7574562,6.0,12.446,3.8095,4.726289834,0.54,6.0,483.87,6_483.87,0.0,0.2971077601880285,0.2428922398119715,
"[P6,6,6,14]+",[BScB]-,zero,titanium,0.0,0.0,319.1282666,0,0.005,61.15,5.174799948,0,28,0.5,0.0,0,0,71.06,4.337445108,60.0,283.024,483.87,3.79978343,298,0,706.0644789,20.0,12.446,1.9208,1.781315888,0.23,4.0,483.87,4_483.87,1.0,0.1400000006986219,0.089999999301378,
"[P6,6,6,14]+",[BMB]-,PC,Au(111),0.25,0.0,319.1282666,0,-0.02,0.835,5.174799948,0,28,0.7,0.67,0,0,71.06,4.337445108,60.0,311.078,483.87,3.97427778,298,0,682.1804819,6.0,12.446,2.0514,1.591434542,0.1097,2.0,483.87,2_483.87,2.0,0.0966232592100282,0.0130767407899717,
[EMIM] +,[FAP]-,zero,Au(111),1.5,8.81,166.7913934,0,-0.02,0.2,3.045073482,1,1,0.7,100.0,0,0,0.0,2.837541431,60.0,445.004,111.168,3.775688868,293,0,468.4882895,6.0,0.3325,7.1942,7.871070033,0.39,5.0,111.168,5_111.168,3.0,0.3761000610826097,0.0138999389173902,
"[P6,6,6,14]+",[DS]-,(CH2CO2Et)2,stainless steel,0.0,0.0,319.1282666,0,0.01,0.9,5.174799948,0,28,0.07,1.263,0,1,66.43,4.337445108,72.0,265.395,483.87,3.990255029,298,0,249.2312434,6.0,12.446,3.3841,3.038016531,0.69,6.0,483.87,6_483.87,4.0,0.6361626984111475,0.0538373015888524,
"[P6,6,6,14]+",[AOT]-,[P66614][BTA],stainless steel,4.0,0.0,319.1282666,0,0.01,320.0,5.174799948,0,28,0.07,17.4,0,1,109.8,4.337445108,72.0,421.576,483.87,4.637037402,298,0,544.7574562,13.0,12.446,3.8095,4.726289834,0.03268,1.0,483.87,1_483.87,5.0,0.0322941120610539,0.000385887938946,
[HMIM]+,[TFSI]-,zero,silica,0.0,8.81,215.3680851,0,-0.07,4.85,3.540263249,1,5,0.2,100.0,0,0,82.38,2.153242802,20.7,280.147,167.276,3.359227186,298,0,384.7328028,5.0,1.8929,1.0593,5.284512596,0.024,1.0,167.276,1_167.276,6.0,0.0478006245056644,0.0238006245056644,
"[P6,6,6,14]+",[BMB]-,PC,Au(111),0.25,0.0,319.1282666,0,-0.02,0.835,5.174799948,0,28,0.7,0.67,0,0,71.06,4.337445108,60.0,311.078,483.87,3.97427778,298,0,682.1804819,1.0,12.446,2.0514,1.591434542,0.114,2.0,483.87,2_483.87,7.0,0.1011954697599581,0.0128045302400418,
[BMIm]+,[FAP]-,zero,Au(111),-0.5,8.81,190.8925906,0,-0.02,0.2,3.310978931,1,3,0.7,100.0,0,0,0.0,2.422977778,60.0,445.004,139.222,3.775688868,293,0,468.4882895,2.0,1.1127,7.1942,7.871070033,0.24,4.0,139.222,4_139.222,8.0,0.2263765843905444,0.0136234156094555,
[EA]+,[N]-,zero,mica,0.0,27.64,2.754887502,1,-0.16,0.0569,2.431285504,0,0,1.77,100.0,0,0,66.2,1.632993162,0.0,62.004,46.093,2.192174955,298,1,26.26466251,10.0,-0.7518,-0.2391,2.803039488,0.080214931,2.0,46.093,2_46.093,9.0,0.3099999985149927,0.2297850675149927,
[HMIM]+,[FAP]-,zero,Au(111),-2.0,8.81,215.3680851,0,-0.02,0.2,3.540263249,1,5,0.7,100.0,0,0,0.0,2.153242802,60.0,445.004,167.276,3.775688868,293,0,468.4882895,2.0,1.8929,7.1942,7.871070033,0.1,2.0,167.276,2_167.276,10.0,0.1230240536828355,0.0230240536828355,
"[P6,6,6,14]+",[TFSI]-,[P66614][Doc],stainless steel,-4.0,0.0,319.1282666,0,0.01,320.0,5.174799948,0,28,0.07,82.6,0,1,82.38,4.337445108,72.0,280.147,483.87,3.359227186,298,0,384.7328028,1.0,12.446,1.0593,5.284512596,0.01295,0.0,483.87,0_483.87,11.0,0.0378229153385394,0.0248729153385394,
"[P6,6,6,14]+",[DCA]-,DEGDBE,titanium,0.0,0.0,319.1282666,0,0.005,61.15,5.174799948,0,28,0.5,0.1,0,0,61.68,4.337445108,60.0,66.043,483.87,2.409661825,298,0,70.04663564,20.0,12.446,0.32226,2.857271683,0.052,1.0,483.87,1_483.87,12.0,0.0985217166699711,0.0465217166699711,
"[P6,6,6,14]+",[(iC8)2PO2]-,hexadecane,Au(111),1.0,0.0,319.1282666,0,-0.02,1.0,5.174799948,0,28,0.7,5.0,0,0,40.13,4.337445108,60.0,289.42,483.87,4.246635376,298,0,281.6910727,6.5,12.446,4.7694,4.359263597,0.695,6.0,483.87,6_483.87,13.0,0.728401478599285,0.0334014785992849,
[Li(G4)]+,[TFSI]-,zero,HOPG,-1.0,46.15,103.3825112,0,-0.0002,0.89,3.859895249,5,12,0.05,100.0,0,0,82.38,0.0,85.0,280.147,229.222,3.359227186,298,0,384.7328028,6.0,-2.667,1.0593,5.284512596,0.033,1.0,229.222,1_229.222,14.0,-0.0030503346287563,0.0360503346287563,
[PA]+,[N]-,zero,mica,0.0,27.64,5.245112498,1,-0.16,0.0569,2.642365161,0,1,1.77,100.0,0,0,66.2,1.974744871,0.0,62.004,60.12,2.192174955,298,1,26.26466251,5.0,-0.3617,-0.2391,2.803039488,0.936708861,7.0,60.12,7_60.12,15.0,0.7110664332990684,0.2256424277009315,
"[P6,6,6,14]+",[(iC8)2PO2]-,zero,HOPG,1.0,0.0,319.1282666,0,-0.0002,0.89,5.174799948,0,28,0.05,100.0,0,0,40.13,4.337445108,85.0,289.42,483.87,4.246635376,298,0,281.6910727,6.0,12.446,4.7694,4.359263597,0.013,0.0,483.87,0_483.87,16.0,0.0750349438451281,0.0620349438451281,
"[P6,6,6,14]+",[(iC8)2PO2]-,hexadecane,silica,0.0,0.0,319.1282666,0,-0.07,0.5,5.174799948,0,28,0.2,100.0,0,0,40.13,4.337445108,20.7,289.42,483.87,4.246635376,298,0,281.6910727,6.0,12.446,4.7694,4.359263597,0.34,5.0,483.87,5_483.87,17.0,0.3113059369818451,0.0286940630181549,
"[P6,6,6,14]+",[TFSI]-,zero,stainless steel,0.0,0.0,319.1282666,0,0.01,0.89,5.174799948,0,28,0.07,0.0,0,1,82.38,4.337445108,72.0,280.147,483.87,3.359227186,298,0,384.7328028,6.0,12.446,1.0593,5.284512596,0.88,7.0,483.87,7_483.87,18.0,0.5108541601357296,0.3691458398642704,
[BMIm]+,[I]-,zero,Au(111),0.0,8.81,190.8925906,0,-0.02,0.2,3.310978931,1,3,0.7,100.0,0,0,0.0,2.422977778,60.0,126.904,139.222,2.113761051,293,0,0.0,2.0,1.1127,-2.996,0.0,0.17,3.0,139.222,3_139.222,19.0,0.3688344217385386,0.1988344217385386,
"[P6,6,6,14]+",[TFSI]-,zero,HOPG,0.0,0.0,319.1282666,0,-0.0002,0.89,5.174799948,0,28,0.05,100.0,0,0,82.38,4.337445108,85.0,280.147,483.87,3.359227186,298,0,384.7328028,6.0,12.446,1.0593,5.284512596,0.014,0.0,483.87,0_483.87,20.0,0.0332148822972224,0.0192148822972224,
"[P6,6,6,14]+",[BMB]-,PC,Au(111),0.25,0.0,319.1282666,0,-0.02,0.835,5.174799948,0,28,0.7,3.1,0,0,71.06,4.337445108,60.0,311.078,483.87,3.97427778,298,0,682.1804819,12.0,12.446,2.0514,1.591434542,0.1288,3.0,483.87,3_483.87,21.0,0.124504502670194,0.0042954973298059,
"[P6,6,6,14]+",[(iC8)2PO2]-,zero,HOPG,0.0,0.0,319.1282666,0,-0.0002,0.89,5.174799948,0,28,0.05,100.0,0,0,40.13,4.337445108,85.0,289.42,483.87,4.246635376,298,0,281.6910727,6.0,12.446,4.7694,4.359263597,0.002,0.0,483.87,0_483.87,22.0,0.0521239264729241,0.0501239264729241,
